WELCOME|Chào mừng lãnh chúa đã trở lại <3
30 SECONDS|Chuẩn bị hấp diêm thôi :D
MINIONS SPAWN|Đệ đã xuất hiện
FIRST BLOOD|Ơ, a nhỡ tay :v
DOUBLE KILL|2 thằng nghẻo :3
TRIPLE KILL|3 thằng cũng nghẻo :3
QUADRA KILL|Thằng nữa đâu rồi :))
PENTA KILL|Hết rồi à =)))
HEXA KILL|Độc cô cầu bại
KILLING SPREE 1|@srctr name@ đẹp trai
KILLING SPREE 2|@srctr name@ nhà giàu
KILLING SPREE 3|@srctr name@ học giỏi
KILLING SPREE 4|@srctr name@ ga lăng
KILLING SPREE 5|@srctr name@ phong độ
KILLING SPREE 6|@srctr name@ nhiều đứa yêu
ACE|LƯỢM HẾT
DEFEAT|ĐEN VL
VICTORY|EZ NOOBS
SHUTDOWN|NGẬM MỒM
KILL ENEMY|Đã thiến con gà
LEAVE|@srctr name@ đã bỏ của chạy lấy người :v
LOADING TIMEOUT|@srctr name@ đã sợ tụt quần và chạy mất dép :))
QUIT|@srctr name@ đã về vì mẹ nó gank =)))
